from,to,expandToAllLocales
/account/login,/,TRUE
/products/emotiv-launcher-rasperry-pi-beta,/emotiv-launcher,TRUE
/products/emotiv-launcher-ubuntu-beta,/emotiv-launcher,TRUE
/collections/headsets-collection/products/flex-saline,/products/flex-saline,TRUE
/collections/da-all-products/products/flex-saline,/products/flex-saline,TRUE
/pages/mn8-headphones,/mn8,TRUE
/epoc-x-pre-sale/,/,TRUE
/collections/da-all-products/products/mn8,/mn8,TRUE
/collections/headsets-collection/products/mn8,/mn8,TRUE
/collections/headsets-collection/products/flex-gel,/products/flex-gel,TRUE
/collections/da-all-products/products/flex-gel,/products/flex-gel,TRUE
/collections/all/products/emotivpro,/emotivpro,TRUE
/collections/software/products/emotivpro,/emotivpro,TRUE
/collections/headsets-collection,/mw20,TRUE
/collections/da-all-products/products/epoc-x,/epoc-x,TRUE
/collections/headsets-collection/products/epoc-x,/epoc-x,TRUE
/collections/software/products/emotiv-studio,/emotiv-studio,TRUE
/pages/brain-computer-interfaces-emotiv-insight,/insight,TRUE
/collections/da-all-products/products/insight,/insight,TRUE
/collections/headsets-collection/products/insight,/insight,TRUE
/collections/software/products/emotiv-bci,/emotiv-bci,TRUE
/collections/software/products/emotiv-brainviz,/emotiv-brainviz,TRUE
/collections/software/products/bci-osc,/products/bci-osc,TRUE
/collections/accessories/products/epoc-flex-cap,https://shop.emotiv.com/epoc-flex-cap/,TRUE
/collections/accessories/products/epoc-felt-sensors,https://shop.emotiv.com/emotiv-felt-sensors/,TRUE
/collections/accessories/products/epoc-flex-gel-sensors,https://shop.emotiv.com/emotiv-flex-sensors/,TRUE
/collections/accessories/products/epoc-flex-saline-sensors,https://shop.emotiv.com/emotiv-flex-sensors/,TRUE
/collections/accessories/products/epoc-hydrator-pack,https://shop.emotiv.com/epoc-hydrator-pack/,TRUE
/collections/accessories/products/epoc-x-rubber-comfort-pads,https://shop.emotiv.com/epocx-rubber-comfort-pads/,TRUE
/collections/accessories/products/usb-receiver-universal-model-for-emotiv-epoc-insight,https://shop.emotiv.com/usb-receiver-universal-model/,TRUE
/collections/accessories/products/flex-control-box,https://shop.emotiv.com/flex-control-box-2-0/,TRUE
